
 33, 2022-09-14, 23, 4, brake fluid, 10.00, 1, 10.00, 1.50, 11.50,
 35, 2022-09-16, 45, 76, oil, 40.00, 3, 120.00, 18.00, 138.00,
 37, 2022-09-20, 5, 8, paint, 17.00, 2, 34.00, 5.10, 39.10,
 45, 2021-09-22, 5, 3, tire, 40.00, 4, 160.00, 24.00, 184.00,
 48, 2022-09-29, 87, 90, mat, 9.00, 2, 18.00, 2.70, 20.70,
 60, 2022-10-1, 45, 8, oil, 56.00, 5, 280.00, 42.00, 322.00,
 36, 2022-10-04, 87, 98, gas, 40.00, 2, 80.00, 12.00, 92.00,
 32, 2022-10-20, 10, 87, car wash, 15.00, 1, 15.00, 2.25, 17.25,
 29, 2022-11-01, 74, 09, tire, 150.00, 1, 150.00, 22.50, 172.50,
 73, 2022-11-11, 72, 19, windsheild wash, 5.00, 1, 5.00, 0.75, 5.75,
 93, 2022-11-13, 39, 45, antifreeze, 35.00, 2, 70.00, 10.50, 80.50,
 48, 2022-11-20, 44, 39, muffler, 200.00, 1, 200.00, 30.00, 230.00,
 21, 2022-11-29, 44, 39, brakes, 500.00, 2, 1,000.00, 150.00, 1,150.00,
 07, 2022-11-30, 73, 43, interior clean, 120.00, 1, 120.00, 18.00, 138.00,
 98, 2022-12-01, 27, 48, shock, 400.00, 2, 800.00, 120.00, 920.00,
 28, 2022-12-09, 41, 67, belt, 80.00, 1, 80.00, 12.00, 92.00,
 67, 2022-12-10, 6, 76, mirror, 50.00, 1, 50.00, 7.50, 57.50,
